L1,L2,L3,L4,L5,L6,x,y,z,roll,pitch,yaw
15.922485,15.764756,17.040874,21.353376,19.143065,16.407220,2.859762,7.572043,15.324713,-5.282816,10.948104,-13.749534
16.649842,19.199936,16.999261,16.959708,15.950105,16.110775,4.123842,-1.357958,15.900895,2.603978,-2.469835,-19.994810
17.585936,22.332360,21.110926,18.478150,15.807243,15.240207,3.890119,-3.027570,17.442928,19.803049,1.959453,-14.100386
13.532727,15.145545,16.519201,18.134798,15.365527,15.178955,-1.724368,1.664080,14.866464,5.657060,11.203088,-19.903956
13.342143,17.617545,17.101359,15.609575,14.860357,14.161720,2.487646,-5.843968,13.678053,7.159585,9.470072,-12.636484
15.606369,18.205334,19.573885,16.525576,14.855548,16.424802,-5.261013,-5.084081,14.916550,13.925339,5.633422,-4.934080
21.354895,24.188442,21.396668,18.768516,16.690246,18.028506,3.296737,-0.724221,19.454358,19.014027,-11.456991,-16.982316
17.584302,17.735124,19.729072,19.644497,18.756210,20.349607,-7.490674,-2.799670,16.838588,1.711494,10.425307,-13.260359
18.697800,16.561537,14.290677,12.669223,13.912077,18.212979,-3.569232,-0.370963,15.068887,-1.770977,-19.075596,-3.738418
19.465191,19.958322,23.199185,23.401193,24.067723,23.475680,-7.261258,-7.269198,19.506620,-12.289486,16.973720,-1.990495
22.343545,23.758664,24.497693,20.582095,20.526322,22.301512,-6.445892,-7.595924,19.801255,7.018194,-6.212454,6.911509
21.190020,21.317943,20.467138,20.520877,23.730623,22.601508,5.175325,-6.584892,19.711800,-9.030719,-5.602994,9.719409
12.435516,15.046324,16.269116,19.273184,16.098580,13.060533,3.117258,3.774926,14.063642,2.014637,14.595822,-18.835873
18.381063,14.116330,12.431827,16.302771,17.337094,20.411165,-2.926408,4.847417,14.988646,-15.969319,-14.281515,-17.162091
19.629109,21.046069,19.020273,16.830727,19.418369,17.568269,7.203553,-4.814378,16.194185,13.592893,-16.534427,17.328185
16.784305,15.507290,19.218249,20.620171,16.821797,17.360816,-7.448863,6.682594,14.278631,8.889507,16.171095,-5.701475
13.180403,10.942457,14.434136,20.946591,19.776899,17.015514,-0.980090,6.361694,14.337398,-19.197600,19.101844,-19.695198
19.597523,15.639729,13.368003,14.629814,17.463753,20.723534,-1.895065,1.338781,16.508224,-16.958975,-16.297367,-1.907415
15.401733,13.854596,13.246125,15.071228,16.306904,14.349056,4.248269,2.894725,13.429633,-2.516659,1.610045,11.027669
22.652052,22.178107,19.119674,18.941755,18.431881,19.180363,4.723198,5.356835,18.537038,9.677049,-15.615313,-1.358028
17.371597,16.061303,16.851833,15.205278,13.045352,15.233896,-5.010038,4.077441,13.964104,8.092443,-3.051167,6.956198
13.274147,11.569440,14.063467,15.961047,16.807725,14.486918,-0.163770,1.250946,13.900046,-10.483437,12.139874,11.098790
16.815851,15.768003,14.094763,11.784144,13.481456,15.661301,-0.870621,-1.600707,14.188710,0.612739,-15.504523,6.279190
21.944968,23.509384,20.729773,16.861762,18.637865,20.289828,2.341008,-7.318045,18.600280,10.168890,-18.188731,0.484441
21.688472,21.471223,17.851398,17.100153,21.027969,23.337010,3.349837,-7.207575,18.426278,-17.593425,-13.849810,-12.220370
17.888303,18.438259,16.977996,19.450395,21.452299,20.679617,4.074987,-3.147147,17.987478,-18.802088,4.124113,-17.252437
18.665528,20.288358,22.531857,22.234730,18.402366,17.961505,-3.583599,3.766650,19.063989,15.818730,11.504565,-5.564718
21.990745,23.914421,20.483626,17.601706,17.233374,19.539751,2.875243,-3.117112,19.383373,12.692060,-15.261991,-15.213100
17.313305,17.350739,18.696445,21.093872,22.611840,20.106764,2.481568,-2.337277,19.030727,-13.484108,11.532441,0.799397
15.030364,15.853231,18.166631,17.463253,14.632018,15.524514,-5.398212,0.927185,14.853799,10.656526,9.255389,-4.818428
15.272263,16.357440,19.435862,19.505954,18.820589,18.758731,-6.096037,-4.932344,15.894273,-2.140951,19.188621,-7.706479
14.847287,16.542294,17.663244,15.557341,13.097623,12.009225,-0.026175,1.413525,14.539152,17.939430,5.142758,10.131978
16.492654,18.717842,16.716861,15.683842,18.580497,16.865209,7.355903,-7.315296,13.438245,-0.514937,-6.824316,3.307394
12.527566,12.667031,15.494252,17.422765,13.825119,12.991097,-2.553828,4.812122,12.672961,7.541784,15.258722,-8.382169
16.616320,15.006201,13.429873,11.993147,15.119922,15.901423,1.364284,-2.151338,14.005018,-4.616726,-15.579557,13.969735
18.842555,18.267415,19.377142,16.942325,18.161511,19.224139,-4.419009,-4.076665,17.093138,-4.611891,-5.956349,14.817027
14.482600,18.414683,17.946360,17.717291,14.517162,12.699769,4.020273,0.967301,15.040023,14.181598,5.999261,-14.397819
18.585741,17.054472,19.773556,20.910721,20.722914,19.760487,-3.918478,1.987969,18.684666,-8.569592,11.316815,9.037562
21.098942,18.708090,18.299653,17.770216,21.253552,21.884842,0.095313,-3.161985,19.131490,-13.433083,-11.457637,19.945639
16.375455,18.244021,20.622204,21.616524,20.595476,16.709562,3.185228,-0.438916,18.518991,4.242984,17.060859,8.696308
17.185059,19.773960,19.966827,20.997798,19.343568,16.149218,6.254452,1.406300,17.585704,6.620192,10.342691,-4.495072
22.424799,20.920592,18.349258,21.729732,22.621351,22.161229,7.348663,5.934244,18.868757,-13.679083,-8.989822,-9.370021
17.649919,16.296891,16.267789,15.873871,19.609810,19.630154,0.755448,-5.279445,16.340689,-15.800571,-8.281625,13.380355
19.583949,18.388596,19.627266,18.871746,18.813906,20.267065,-5.782009,-0.254840,18.170466,-3.308719,-0.557665,3.646959
17.732256,18.874072,21.058954,18.207056,15.272316,15.973399,-5.611296,0.491409,16.664137,14.424638,5.459145,10.821071
20.384183,18.875193,22.068565,23.248317,21.796215,20.124061,-3.879868,5.365870,19.605880,-3.140846,18.214626,15.674718
19.366934,18.515143,18.764727,22.786611,22.407767,19.691558,5.451476,6.553031,18.188164,-9.229852,8.669098,-4.957811
21.335278,21.495906,20.795154,17.535352,19.552556,21.982475,-3.931485,-7.976434,18.213226,-1.093213,-12.836205,3.683994
17.723310,18.655513,16.179569,13.539907,16.390705,15.617443,5.028557,-4.571044,14.301424,10.386263,-19.801248,13.102532
14.447926,15.729887,18.116857,17.970344,17.301084,17.098564,-4.103601,-3.840080,15.527768,-0.488043,13.896698,-5.566630
20.602914,21.019251,19.762267,21.463790,21.657456,19.925010,6.868218,2.327332,19.249386,-2.212695,0.652466,-3.179620
16.920294,16.755920,18.920486,18.966801,14.936775,14.437343,-2.400260,7.302928,14.619840,16.533970,12.891308,5.793981
16.218538,13.112566,16.118141,19.818832,19.319688,18.865015,-4.854476,4.956610,15.556939,-15.044250,11.979293,-6.765279
17.863879,15.786375,14.761513,16.640524,16.779158,19.708665,-3.982658,1.791785,15.836214,-5.868983,-7.567275,-19.842162
18.578734,19.042866,18.423245,17.456712,18.588710,18.303037,1.856715,-2.703470,17.881846,1.033155,-4.118758,5.669560
10.417121,10.696778,12.737649,14.030416,14.511728,12.714266,-0.427378,-1.421561,12.120550,-8.027995,11.964244,0.912714
13.292438,11.595612,14.439095,14.256267,14.272655,12.924930,-2.373448,1.359815,12.565103,-4.638146,10.121163,17.277192
15.678205,20.904387,21.747113,21.175843,18.206301,14.882049,5.293258,-2.342917,17.581287,14.256676,16.216855,-10.082655
14.408576,16.840701,15.962682,15.569090,14.309635,14.490015,1.364225,-1.626803,14.708978,5.706839,2.293536,-14.173510
18.017513,21.825137,24.149564,23.335004,22.548976,19.904139,0.795578,-7.960724,19.917214,5.745262,17.378223,0.722052
14.340732,17.649082,16.028556,16.181111,13.546343,10.825183,6.675099,2.804745,12.545648,16.435560,0.530506,-9.261559
21.247814,16.618129,17.947890,20.870543,22.183796,22.411858,-3.426576,6.794957,18.438583,-19.310185,4.751520,10.177201
19.722024,18.342088,17.936137,21.226379,20.466756,18.935483,4.115204,7.884124,17.094842,-5.115630,2.604899,-3.404504
22.083634,21.688785,17.942447,18.634391,21.786897,23.788182,4.059666,-4.256149,19.602626,-19.781480,-11.669136,-19.643701
15.838786,15.438015,17.760209,17.616678,14.168931,13.251948,-1.912866,5.983003,13.951741,14.029051,14.303760,10.841652
16.362288,16.119087,13.665088,13.315882,12.031017,13.691810,1.085146,3.222991,13.448897,9.109828,-14.042805,-6.450164
18.806665,19.136581,17.473419,14.176584,15.155380,20.183631,-6.786331,-6.556628,14.293032,7.151147,-8.335330,-18.582120
19.566729,19.414193,21.957415,21.342279,22.828357,23.125106,-7.136798,-7.256228,18.556876,-14.346869,7.315227,3.041799
17.540183,16.871614,15.294150,15.463438,13.380252,14.517649,0.492761,5.950216,14.020820,10.829825,-10.349579,-3.889575
17.043286,18.717111,19.760703,22.727098,19.437421,16.225253,4.466676,7.261211,16.649377,4.378088,11.441675,-14.521216
22.030275,21.561315,19.463641,22.141274,21.334407,20.488882,6.944171,7.395256,18.289171,-3.789470,-7.872685,-11.279568
18.753311,21.545145,22.100170,17.572971,15.852147,18.143179,-5.921501,-5.978463,16.821652,18.523214,-2.022919,-2.600177
18.299198,18.951332,21.415094,23.712308,21.832901,18.923118,1.101179,3.793288,19.952796,0.086821,17.433210,-1.952516
17.219389,13.856977,14.282324,19.621597,19.493463,19.336776,-0.489750,7.609286,15.174234,-17.350156,-0.409337,-14.882618
19.436957,15.503427,14.281788,13.238048,16.103276,21.456887,-7.809567,-2.131588,14.312308,-14.309849,-18.922933,-5.093616
16.154266,14.991621,15.117802,13.673139,14.009215,15.460559,-2.606038,0.143597,14.386206,-0.079761,-5.939234,7.223680
19.486823,17.611328,16.607901,15.301496,17.138816,20.803399,-5.405083,-2.952908,16.510371,-6.703264,-12.150852,-5.073496
12.019932,16.172225,16.837552,16.218258,16.515554,13.126714,4.708553,-5.961025,12.871959,5.407145,12.370939,1.389170
15.541763,12.083253,15.280781,17.724634,17.758902,16.136114,-3.020559,5.083587,14.061675,-14.125761,16.883277,12.925058
14.330934,14.604154,17.575049,18.391347,15.859789,12.702449,0.456530,3.928503,14.629505,9.611788,19.983466,13.030715
17.929790,18.251237,18.541607,14.136357,11.543161,14.417635,-5.349620,1.543122,14.478102,17.688111,-8.162762,10.995069
13.651621,12.206472,11.998742,15.577167,17.035758,16.068979,1.631711,1.209003,13.976771,-17.318597,4.026188,-6.778760
13.665776,13.484713,14.012320,13.743233,14.901519,16.538484,-3.792459,-3.826323,13.019693,-7.618090,2.450349,-8.239840
15.161943,17.072802,15.814657,12.041261,14.703841,14.071317,2.465266,-6.969524,12.280547,9.137838,-16.797957,11.769260
17.322398,17.475053,16.154134,17.389372,18.491798,18.238974,3.027432,-1.010545,16.957167,-7.623080,-1.334221,-7.648075
18.579173,19.236820,18.156547,18.803312,18.742234,17.899762,3.970425,0.840107,17.917655,0.829215,-0.917036,-3.679476
11.947885,11.889236,13.573923,15.869152,14.327275,13.219993,-0.791334,2.381740,12.916246,-2.510411,10.980140,-7.646116
16.685946,15.399647,19.472546,20.820705,21.167975,19.940535,-6.658858,-1.082055,17.319667,-17.763015,17.715433,5.277618
12.566707,11.876612,12.905830,14.806619,14.792719,16.281573,-4.336369,-1.331426,12.548314,-8.123753,8.691453,-17.883306
21.445150,24.766326,22.095191,19.558060,20.079576,20.116850,6.613398,-7.172215,18.763842,8.881499,-5.923729,-10.707251
17.494647,16.058183,14.121976,12.012664,14.777511,19.660993,-5.561952,-5.443012,13.282174,-7.015833,-13.830549,-12.816795
21.436671,21.533023,20.230123,19.131431,18.768932,17.644700,5.213072,4.532539,18.081584,17.937244,-3.766951,16.490722
16.850517,17.914322,15.388353,11.965684,13.918080,16.110350,0.613479,-5.634446,14.022533,5.407141,-15.902130,-2.680721
16.063650,19.759639,19.851400,22.169577,18.087180,13.766710,7.938155,6.546409,14.707924,10.079105,9.746002,-18.697317
20.771419,21.770445,22.198962,20.673780,17.766907,20.296179,-6.749192,1.462949,18.984323,17.512837,-1.400838,-15.808521
22.094825,20.239047,18.396156,18.188902,17.374665,19.583572,-0.917148,6.184707,18.067854,4.858641,-13.520508,0.362300
18.290106,19.169103,16.926233,11.158073,12.152879,17.848700,-6.293556,-7.141683,12.491364,14.634538,-18.960712,-11.444951
20.447114,20.046815,18.510853,19.785851,21.949408,20.243992,7.390369,-0.539186,18.532388,-4.283283,-3.328333,8.233123
17.786089,20.287150,22.606993,20.215284,18.244709,19.841700,-7.925852,-6.206610,16.689146,14.622423,14.141068,-9.594552
18.253853,13.311369,12.619358,17.370110,20.322066,18.688957,4.398567,6.411648,14.479148,-18.532468,4.241315,15.812015
19.324082,16.835435,13.644346,14.943187,15.724084,15.631359,5.076852,7.248337,12.952090,6.854519,-13.173191,10.912720
19.650343,19.846161,20.271882,21.071147,20.141570,17.139856,5.899115,5.003273,17.694801,12.267592,9.551892,16.050429
17.529115,14.970000,16.452622,14.487407,16.534789,18.942001,-6.649026,-2.689782,14.405108,-15.540482,-7.965351,13.472525
14.064299,17.439894,17.711908,16.501355,14.392331,15.356031,-1.603478,-3.660275,14.793834,11.010094,10.278661,-18.923917
16.863705,18.372172,17.045185,13.512244,14.424945,17.892967,-3.842074,-7.180185,13.866423,6.851529,-6.075948,-12.264309
17.350206,16.419729,17.738399,23.167982,22.884379,19.268881,4.801096,6.228514,17.587932,-16.186211,14.646884,-10.255607
20.254738,16.254890,16.443475,20.817930,21.476692,21.801486,-1.097379,7.765321,17.660198,-17.790489,-1.329546,-6.321368
16.879801,19.981800,20.463243,19.324809,18.785208,15.072258,6.570362,-2.170240,16.732075,16.427771,6.398075,12.904321
22.703723,19.233732,18.811332,18.875952,20.363891,23.071594,-5.090448,2.341292,19.532853,-11.198289,-10.043768,6.307442
16.254841,19.398057,18.361780,13.149010,12.673965,15.987230,-3.779153,-7.537962,13.260364,18.585389,-5.749277,-10.002503
18.835630,18.312246,19.076775,19.190214,20.158476,21.827777,-5.671376,-4.314835,17.942206,-7.363100,4.057039,-11.667966
14.703686,13.445083,16.268889,16.184178,13.620598,14.460179,-5.822903,3.531461,12.827628,3.748036,9.598274,3.333368
20.343284,21.034682,21.279782,22.817983,20.863150,18.073862,5.908675,6.790314,18.477059,9.174599,9.268309,3.272387
16.640585,18.648139,17.947651,18.404591,16.257644,16.345519,1.275273,1.079650,16.820926,6.634015,1.262393,-18.846615
19.087598,16.614450,15.985448,18.804359,19.170486,19.392147,0.797763,5.420319,17.123553,-10.037920,-2.854515,-3.538627
16.097035,13.451825,14.901386,18.240934,15.925881,17.729723,-5.680723,6.841917,12.816344,0.635174,-1.596898,-19.495927
18.411511,18.695205,18.267174,20.981625,23.684968,21.475067,5.648498,-3.974481,18.794135,-19.523883,7.484847,-4.951152
13.610216,15.694966,17.977262,18.153934,20.165148,16.883790,1.952882,-7.466706,14.938553,-9.263384,11.314993,10.423732
17.483672,18.321269,18.106147,18.570504,15.642435,17.053955,-2.384762,3.553496,16.458021,11.726018,-2.383655,-19.938095
21.211907,23.309173,21.919688,16.753408,17.785183,18.687000,0.211993,-7.239768,18.158940,15.726152,-18.478647,13.390142
18.738467,14.436119,12.797996,13.476569,16.896744,19.577690,-1.571071,0.869348,15.615545,-18.332164,-15.014329,8.244900
17.690143,17.235917,16.981668,13.315849,15.306506,19.178802,-6.784533,-7.090225,13.182472,-2.533259,-13.188849,-1.080414
17.368437,16.269652,18.763958,17.889113,14.417969,14.512310,-4.161342,6.380102,14.181971,12.997674,14.073468,15.726224
17.780737,16.878645,16.879103,12.083706,11.041230,14.751653,-6.026897,0.368384,13.226974,9.053718,-13.952132,14.673681
22.424601,21.793698,21.574542,17.963703,16.146060,18.768043,-5.057475,3.567932,18.452051,13.430702,-8.527231,15.765129
20.096866,19.299468,17.816162,14.394889,16.649231,20.220559,-4.160760,-5.773521,16.400748,-1.607332,-18.024404,2.345207
18.003524,16.882284,15.604618,12.121944,14.813282,16.779563,-1.323727,-3.812153,14.666312,-1.065850,-19.987130,15.932203
14.968307,14.825065,17.178547,14.277492,14.308279,16.088008,-7.205529,-3.933753,12.563501,-2.640945,-0.696834,8.543706
14.129298,13.946146,13.977767,17.461088,17.052353,13.107017,6.443458,4.671744,12.385045,-1.992165,12.327897,2.818706
17.118555,15.450496,16.026811,21.561890,22.273646,18.143426,7.116595,6.308504,15.574957,-15.469273,15.292007,0.716726
15.443669,13.342831,11.564161,10.309903,12.663530,14.570609,-0.146175,-0.429971,12.621932,-4.640671,-15.435833,8.172327
19.277245,18.183701,17.326915,18.083675,18.458387,19.389982,-0.171958,1.587392,18.175280,-3.916140,-4.822439,-4.175143
11.777861,12.796489,16.476734,17.074964,15.648398,13.500510,-2.596489,-1.028298,13.968550,-0.181685,19.596742,3.666277
13.792056,16.616415,15.540464,16.379119,15.631894,12.893901,6.400862,-0.397735,13.449578,3.738266,5.790044,-6.936913
17.080921,16.234835,17.726262,16.703558,19.407241,19.224958,-2.092052,-5.468096,16.307562,-14.117317,-3.091515,15.218822
19.856192,18.737440,19.701046,20.574258,21.594035,23.146618,-6.220756,-3.287571,19.077149,-9.920624,4.837214,-13.241101
18.754961,19.830943,19.681168,19.434118,18.819981,16.819632,4.484033,1.519967,18.032943,9.728327,2.984643,8.429487
17.795794,20.183186,22.719618,24.041497,19.735966,18.235048,-1.764179,4.939831,19.282602,14.851496,15.717703,-18.666624
17.118902,14.899118,17.459191,17.662199,15.085738,14.907327,-4.132939,6.916063,13.519366,4.448109,15.090039,15.222251
16.420663,11.968036,10.293931,10.742903,13.855451,16.735795,-1.537406,1.422268,12.850469,-16.457525,-15.932051,8.482608
21.764568,20.464408,20.187758,18.610492,16.025421,19.288842,-6.456728,6.052725,17.038513,12.387750,-10.477595,-0.961596
22.933121,19.585799,19.599462,18.418312,21.696434,24.504703,-5.888427,-3.363353,19.660268,-19.307203,-13.517409,14.694983
20.585472,18.802062,16.647880,17.853181,21.470609,20.427456,7.072809,-1.055524,17.564393,-7.729205,-11.246340,15.985407
17.788929,18.689806,20.447058,23.451771,24.156317,19.321528,7.298153,-0.371882,19.087399,-5.395992,17.824262,8.762002
15.930494,15.137963,12.265118,10.265364,11.525107,13.360986,1.203338,0.120425,12.673349,6.172279,-18.861066,4.047846
19.827431,18.083375,21.160370,21.019697,21.177102,21.099690,-7.043527,0.350610,18.730304,-12.118265,9.032419,14.953141
16.854150,11.587199,13.431776,16.639959,16.797021,17.438568,-4.243521,7.966374,12.204034,-18.671134,5.629851,5.705813
19.763582,17.945469,19.165469,20.094264,18.933814,18.838018,-2.349463,5.921770,17.794789,-0.641780,5.313912,7.326808
14.308581,15.361247,15.347498,16.697920,19.956084,17.300269,5.139105,-5.920227,14.230257,-15.745206,5.608609,4.347823
23.146460,23.687746,22.754944,19.239984,18.681721,22.802481,-7.753545,-4.377181,19.575967,12.276529,-10.057347,-11.310843
20.553960,17.415804,16.448424,17.002198,18.575959,22.772919,-7.311619,-0.436410,16.984664,-9.260637,-11.298843,-14.454476
15.959374,19.670407,21.571299,18.255778,15.794044,16.839693,-5.296160,-6.040927,15.799080,18.956358,10.999694,-5.469499
17.556965,16.086283,17.026965,17.850355,21.684401,20.122222,2.385848,-4.746419,17.123783,-18.404845,-2.379963,18.814750
19.748105,22.221833,20.493154,20.048514,18.452577,18.589919,3.707558,-0.437391,19.165100,7.187111,-2.563257,-19.222341
15.722074,14.689972,15.709634,17.212539,16.806324,14.475747,2.363935,4.028262,14.700867,1.509129,9.451791,11.514047
10.275163,10.369965,12.689563,16.973544,14.931403,13.293829,-0.785221,3.114163,12.137057,-7.123106,16.493499,-18.709597
12.986304,13.284408,12.974111,12.358114,16.115213,16.113507,0.752142,-6.390095,12.036026,-17.450263,-3.042085,2.110700
15.772429,17.099128,18.086161,15.981519,14.645448,15.478170,-3.258867,-1.896097,15.507179,9.083001,1.602707,0.747288
20.225108,21.470345,18.071908,16.377868,16.264356,17.827656,3.915085,-1.023629,17.635257,8.963235,-15.461486,-11.108882
13.532307,13.929368,15.758374,16.653630,16.673478,17.509455,-4.976720,-4.039919,13.803238,-6.473105,15.581302,-15.388868
19.387931,20.113315,19.617804,20.499612,19.812499,18.942580,2.988407,1.656466,19.224807,1.242839,1.594941,-6.210863
15.885428,13.266880,13.997374,16.386760,14.082387,16.392127,-5.063822,6.448720,12.116347,1.636495,-5.543367,-13.909790
14.378975,12.359289,12.581588,13.669009,14.820194,15.927056,-2.104246,0.377856,13.526387,-10.738857,-2.028516,-1.583460
19.709414,17.379997,17.102312,20.319078,20.489649,19.808835,2.009897,6.543208,17.684076,-9.697649,0.976146,-1.433923
21.665978,21.916525,20.414047,19.162212,18.137766,17.517614,4.483639,5.487721,18.111570,19.391749,-5.071226,12.079962
17.080345,16.052799,16.603141,13.447377,14.443932,17.694610,-6.701988,-3.831277,13.622246,-2.781786,-10.813287,5.320330
21.923780,21.477362,22.259511,24.137197,23.297609,19.875490,6.870176,7.002952,19.454514,9.326677,13.959325,18.145617
15.727152,16.856268,15.810456,16.043233,18.006381,16.714734,4.411403,-4.055419,15.176135,-5.391710,-0.180561,0.140423
12.922828,9.990784,13.143406,15.094924,17.555188,14.950245,-0.211334,0.429510,13.222768,-19.009563,11.731167,19.097348
18.992823,19.258441,17.800076,17.593695,20.010631,21.722622,-1.026263,-6.717381,17.613842,-11.771344,-0.666251,-15.515351
17.402981,20.729017,20.534619,16.443582,14.841020,15.446538,-0.851460,-4.316037,16.799919,19.599832,-2.941170,0.782803
12.713064,12.697765,14.680584,15.809017,15.128447,15.059310,-3.098408,-0.567737,13.690431,-4.066757,10.577612,-7.000497
20.714258,16.239466,13.390852,13.689850,15.630904,18.205137,0.136138,6.075372,14.773727,-5.620074,-17.676151,15.806694
21.099482,17.230733,18.513583,22.404013,23.465202,22.110936,0.172345,7.518867,19.137308,-16.638589,9.572551,9.374154
18.532300,16.175323,15.930653,17.892924,21.806700,19.998845,5.082043,-1.614864,17.147084,-15.160383,-3.339294,19.812845
22.091382,20.794055,20.942286,22.836822,22.746655,20.666456,4.717303,6.422966,19.874722,1.532308,7.119443,13.175075
15.725769,20.350774,22.182263,19.446256,18.467584,15.359168,2.309090,-7.120570,16.752411,16.545809,8.362181,12.267200
15.630296,16.163656,19.404329,20.618669,20.941884,18.521635,-1.942250,-3.021088,17.949760,-9.436861,16.907911,4.924108
21.361708,22.209990,22.551754,22.364902,20.461390,18.134472,4.985287,5.700768,19.424379,17.567621,7.914858,14.249482
20.367275,19.910961,21.802736,23.180976,21.516800,19.425223,0.525209,5.730005,19.982457,3.264716,13.403006,9.155803
19.425726,17.441685,16.128746,13.977029,14.834485,17.420268,-2.388366,1.348159,15.997268,1.259559,-14.534344,11.273854
16.904142,19.313524,17.774047,17.157049,18.328571,16.329597,7.024025,-4.182706,15.417470,4.305743,-1.101145,0.691693
21.207015,21.132704,19.456231,18.462721,19.771214,18.532292,6.015085,0.982563,18.322447,11.320930,-8.588146,17.851476
20.320217,17.882116,18.758376,22.364856,22.162412,20.932058,0.802501,7.424744,18.815322,-10.706014,6.636916,-1.068109
21.305131,18.086248,17.065990,19.688161,22.722949,22.947107,1.959601,1.542334,19.954159,-19.264915,-4.701496,5.065539
18.790686,18.048621,15.738057,16.195523,13.969768,15.214554,1.392715,7.120656,14.273517,12.546909,-15.326221,-6.684495
15.439186,11.617608,12.575588,13.059704,14.830274,17.010958,-4.676123,1.085440,12.931481,-16.596462,-5.171656,5.280447
20.889499,21.600886,21.037364,16.682313,17.348401,19.247176,-3.180059,-5.096480,18.192959,7.995769,-14.369701,12.626371
18.726946,17.296124,17.593958,18.580052,18.704264,18.643378,-0.465226,2.799563,17.829817,-3.983491,0.741054,3.700919
16.444267,15.138644,16.438327,16.679952,16.980216,17.985200,-4.312189,-0.346469,15.816555,-6.599799,1.868235,-0.499920
10.888705,14.724440,17.083437,17.828133,18.725087,13.254769,5.508941,-6.117798,12.755515,1.150054,18.796761,10.930393
19.797337,17.504766,16.426838,17.552754,15.522214,18.953736,-4.883771,6.578171,15.133337,6.204783,-15.456976,-15.888762
12.630252,12.755697,15.432179,17.406523,13.595339,14.147718,-4.385252,4.616330,12.195533,11.155686,12.211620,-16.526120
15.312073,14.650929,18.347388,18.029161,16.827227,15.772696,-5.268671,0.679232,15.175794,-3.447516,15.104074,13.406762
20.955208,18.619475,18.121895,15.706051,15.446592,18.193617,-4.357371,3.901762,16.469215,3.086578,-10.204773,16.881818
18.604547,19.107879,17.881454,18.149225,14.485480,15.903131,-1.028821,6.747439,15.428071,18.419605,-11.364991,-17.264663
17.926749,16.838126,16.286092,14.748500,13.730679,15.992786,-3.022363,2.650947,15.168606,6.413798,-8.816089,3.298482
16.726065,19.610270,19.215026,20.368498,19.194871,16.278884,6.774074,-0.102259,17.037763,2.602548,9.027501,-9.544273
